Date,PX_LAST,YLD_YTM_MID,Equity,Debt,Debt-VRR,Debt-FAR,Hybrid,Equity.1,Debt.1,Hybrid.1,Solution Oriented,Other,AIF,Total
2023-04-28,110.39,7.232,11631,806,1235.0,,-126.0,,,,,,,13545
2023-06-30,111.54,7.12,47148,9178,-242.0,,173.0,,,,,,,56258
2023-07-31,110.34,7.23,46618,3726,-2227.0,,-140.0,,,,,,,47977
2023-08-31,109.545,7.304,12262,7733,-2933.0,,1276.0,,,,,,,18338
2023-09-29,109.8375,7.273,-14768,938,54.0,,-36.0,,,,,,,-13810
2023-10-31,107.825,7.47,-24548,6382,406.0,,-115.0,,,,,,,-17875
2023-11-30,108.5375,7.397,9001,14860,737.0,,-52.0,,,,,,,24546
2023-12-29,109.15,7.335,66135,18302,-4146.0,,4247.0,,,,,,,84537
2024-02-29,111.09,7.14,1539,22419,862.0,-,6997.0,-,-,-,-,-,-,31817
2024-03-29,111.21,7.123,35098,13602,2478.0,-,818.0,-,-,-,-,-,-,51996
2024-04-30,109.8875,7.25,-8671,-10949,3267.0,-,94.0,-,-,-,-,-,-,-16260
2024-05-31,110.15,7.224,-25586,8761,4283.0,-,-369.0,-,-,-,-,-,-,-12911
2024-06-28,112.04,7.035,26565,14955,-973.0,-,1211.0,-,-,-,-,-,-,41757
2024-07-31,112.38,6.997,32365,22363,-6189.0,-,257.0,-,-,-,-,-,-,48796
2024-08-30,112.93,6.94,7320,17960,-885.0,0,1098.0,0,0,0,0,0,0,25493
,113.79,6.853,57724,1299,8592.0,22959,2455.0,-14,891,-8,0,-359,0,93538
